":START_ID",":END_ID",":TYPE"
"laptop_thinkpad_x1_carbon_gen_10","cpu_type_i9","HAS_A_CPU"
"laptop_thinkpad_t14s_gen_3","cpu_type_i7","HAS_A_CPU"
"laptop_thinkpad_p1_gen_5","cpu_type_i9","HAS_A_CPU"
"laptop_thinkpad_e15_gen_4","cpu_type_i5","HAS_A_CPU"
"laptop_thinkpad_x13_yoga","cpu_type_i7","HAS_A_CPU"
"laptop_xps_13_plus_developer_edition","cpu_type_i7","HAS_A_CPU"
"laptop_xps_15_oled_creator","cpu_type_i9","HAS_A_CPU"
"laptop_xps_17_workstation","cpu_type_i9","HAS_A_CPU"
"laptop_xps_13_2_in_1","cpu_type_i7","HAS_A_CPU"
"laptop_xps_15_studio","cpu_type_i9","HAS_A_CPU"
"laptop_elitebook_840_g9","cpu_type_i7","HAS_A_CPU"
"laptop_elitebook_x360_1040_g9","cpu_type_i7","HAS_A_CPU"
"laptop_elitebook_850_g9","cpu_type_i7","HAS_A_CPU"
"laptop_elitebook_1030_x360_g4","cpu_type_i5","HAS_A_CPU"
"laptop_elitebook_855_g8","cpu_type_i7","HAS_A_CPU"
"laptop_macbook_pro_13_inch_m2","cpu_type_i7","HAS_A_CPU"
"laptop_macbook_pro_16_inch_m2_max","cpu_type_i9","HAS_A_CPU"
"laptop_macbook_air_m2","cpu_type_i5","HAS_A_CPU"
"laptop_macbook_pro_14_inch_m2_pro","cpu_type_i7","HAS_A_CPU"
"laptop_macbook_pro_13_inch_m1","cpu_type_i7","HAS_A_CPU"
"laptop_zenbook_pro_16x_oled","cpu_type_i9","HAS_A_CPU"
"laptop_zenbook_14_oled","cpu_type_i7","HAS_A_CPU"
"laptop_zenbook_flip_13_ux363","cpu_type_i7","HAS_A_CPU"
"laptop_zenbook_13_ux325","cpu_type_i5","HAS_A_CPU"
"laptop_zenbook_pro_15_oled","cpu_type_i9","HAS_A_CPU"
"laptop_msi_ge76_raider","cpu_type_i9","HAS_A_CPU"
"laptop_msi_gs66_stealth","cpu_type_i9","HAS_A_CPU"
"laptop_msi_katana_gf66","cpu_type_i7","HAS_A_CPU"
"laptop_msi_creator_z16p","cpu_type_i9","HAS_A_CPU"
"laptop_msi_prestige_14_evo","cpu_type_i7","HAS_A_CPU"
"laptop_razer_blade_15_advanced","cpu_type_i9","HAS_A_CPU"
"laptop_razer_blade_17","cpu_type_i9","HAS_A_CPU"
"laptop_razer_blade_14","cpu_type_i7","HAS_A_CPU"
"laptop_razer_blade_stealth_13","cpu_type_i7","HAS_A_CPU"
"laptop_razer_book_13","cpu_type_i7","HAS_A_CPU"
"laptop_acer_aspire_5_a515","cpu_type_i5","HAS_A_CPU"
"laptop_acer_swift_3_sf314","cpu_type_i7","HAS_A_CPU"
"laptop_acer_predator_helios_300","cpu_type_i7","HAS_A_CPU"
"laptop_acer_nitro_5_an515","cpu_type_i5","HAS_A_CPU"
"laptop_acer_conceptd_7","cpu_type_i9","HAS_A_CPU"
"laptop_ideapad_gaming_3","cpu_type_i7","HAS_A_CPU"
"laptop_legion_5_pro","cpu_type_i7","HAS_A_CPU"
"laptop_ideapad_slim_7","cpu_type_i7","HAS_A_CPU"
"laptop_yoga_9i_2_in_1","cpu_type_i9","HAS_A_CPU"
"laptop_thinkbook_14s_yoga","cpu_type_i5","HAS_A_CPU"
"laptop_inspiron_15_3000","cpu_type_i5","HAS_A_CPU"
"laptop_inspiron_14_5000_2_in_1","cpu_type_i7","HAS_A_CPU"
"laptop_alienware_m15_r7","cpu_type_i9","HAS_A_CPU"
"laptop_latitude_9430_2_in_1","cpu_type_i7","HAS_A_CPU"
"laptop_vostro_15_3000","cpu_type_i5","HAS_A_CPU"
"laptop_pavilion_gaming_15","cpu_type_i7","HAS_A_CPU"
"laptop_omen_16","cpu_type_i9","HAS_A_CPU"
"laptop_envy_x360_15","cpu_type_i7","HAS_A_CPU"
"laptop_probook_450_g9","cpu_type_i5","HAS_A_CPU"
"laptop_spectre_x360_14","cpu_type_i7","HAS_A_CPU"
"laptop_vivobook_pro_16x_oled","cpu_type_i9","HAS_A_CPU"
"laptop_rog_strix_g15","cpu_type_i7","HAS_A_CPU"
"laptop_tuf_gaming_f15","cpu_type_i5","HAS_A_CPU"
"laptop_expertbook_b9","cpu_type_i7","HAS_A_CPU"
"laptop_chromebook_flip_c436","cpu_type_i5","HAS_A_CPU"
"laptop_acer_aspire_3_a315","cpu_type_i5","HAS_A_CPU"
"laptop_hp_15_dy2000","cpu_type_i5","HAS_A_CPU"
"laptop_lenovo_ideapad_3_15","cpu_type_i5","HAS_A_CPU"
"laptop_dell_inspiron_15_3501","cpu_type_i5","HAS_A_CPU"
"laptop_asus_vivobook_15_x515","cpu_type_i5","HAS_A_CPU"
"laptop_acer_swift_x_sfx14","cpu_type_i7","HAS_A_CPU"
"laptop_hp_envy_15","cpu_type_i7","HAS_A_CPU"
"laptop_lenovo_legion_slim_7","cpu_type_i7","HAS_A_CPU"
"laptop_dell_g15_gaming","cpu_type_i7","HAS_A_CPU"
"laptop_asus_tuf_dash_f15","cpu_type_i7","HAS_A_CPU"
"laptop_hp_zbook_studio_g9","cpu_type_i9","HAS_A_CPU"
"laptop_dell_precision_7670","cpu_type_i9","HAS_A_CPU"
"laptop_lenovo_thinkpad_p16","cpu_type_i9","HAS_A_CPU"
"laptop_msi_ws66_workstation","cpu_type_i9","HAS_A_CPU"
"laptop_asus_proart_studiobook_pro_x","cpu_type_i9","HAS_A_CPU"
"laptop_lg_gram_17","cpu_type_i7","HAS_A_CPU"
"laptop_samsung_galaxy_book2_pro","cpu_type_i7","HAS_A_CPU"
"laptop_microsoft_surface_laptop_5","cpu_type_i7","HAS_A_CPU"
"laptop_huawei_matebook_x_pro","cpu_type_i7","HAS_A_CPU"
"laptop_xiaomi_mi_laptop_pro","cpu_type_i7","HAS_A_CPU"
"laptop_gigabyte_aero_17","cpu_type_i9","HAS_A_CPU"
"laptop_origin_pc_evo17_s","cpu_type_i9","HAS_A_CPU"
"laptop_maingear_element","cpu_type_i9","HAS_A_CPU"
"laptop_digital_storm_equinox","cpu_type_i9","HAS_A_CPU"
"laptop_falcon_northwest_fragbook","cpu_type_i9","HAS_A_CPU"
"laptop_hp_spectre_x360_16","cpu_type_i7","HAS_A_CPU"
"laptop_dell_xps_13_2_in_1","cpu_type_i7","HAS_A_CPU"
"laptop_lenovo_yoga_7i_16","cpu_type_i7","HAS_A_CPU"
"laptop_asus_zenbook_pro_15_flip","cpu_type_i9","HAS_A_CPU"
"laptop_surface_book_3","cpu_type_i7","HAS_A_CPU"
"laptop_alienware_x17_r2","cpu_type_i9","HAS_A_CPU"
"laptop_rog_zephyrus_g14","cpu_type_i7","HAS_A_CPU"
"laptop_msi_gs77_stealth","cpu_type_i9","HAS_A_CPU"
"laptop_razer_blade_pro_17","cpu_type_i9","HAS_A_CPU"
"laptop_origin_pc_neuron","cpu_type_i9","HAS_A_CPU"
"laptop_thinkpad_l15_gen_3","cpu_type_i7","HAS_A_CPU"
"laptop_xps_13_developer","cpu_type_i7","HAS_A_CPU"
"laptop_elitebook_845_g8","cpu_type_i7","HAS_A_CPU"
"laptop_macbook_air_15_inch","cpu_type_i7","HAS_A_CPU"
"laptop_zenbook_15_oled","cpu_type_i7","HAS_A_CPU"
"laptop_aspire_7_a715","cpu_type_i5","HAS_A_CPU"
"laptop_pavilion_15","cpu_type_i5","HAS_A_CPU"
