":START_ID",":END_ID",":TYPE"
"laptop_thinkpad_x1_carbon_gen_10","brand_lenovo","HAS_V_BRAND"
"laptop_thinkpad_t14s_gen_3","brand_lenovo","HAS_V_BRAND"
"laptop_thinkpad_p1_gen_5","brand_lenovo","HAS_V_BRAND"
"laptop_thinkpad_e15_gen_4","brand_lenovo","HAS_V_BRAND"
"laptop_thinkpad_x13_yoga","brand_lenovo","HAS_V_BRAND"
"laptop_xps_13_plus_developer_edition","brand_dell","HAS_V_BRAND"
"laptop_xps_15_oled_creator","brand_dell","HAS_V_BRAND"
"laptop_xps_17_workstation","brand_dell","HAS_V_BRAND"
"laptop_xps_13_2_in_1","brand_dell","HAS_V_BRAND"
"laptop_xps_15_studio","brand_dell","HAS_V_BRAND"
"laptop_elitebook_840_g9","brand_hp","HAS_V_BRAND"
"laptop_elitebook_x360_1040_g9","brand_hp","HAS_V_BRAND"
"laptop_elitebook_850_g9","brand_hp","HAS_V_BRAND"
"laptop_elitebook_1030_x360_g4","brand_hp","HAS_V_BRAND"
"laptop_elitebook_855_g8","brand_hp","HAS_V_BRAND"
"laptop_macbook_pro_13_inch_m2","brand_apple","HAS_V_BRAND"
"laptop_macbook_pro_16_inch_m2_max","brand_apple","HAS_V_BRAND"
"laptop_macbook_air_m2","brand_apple","HAS_V_BRAND"
"laptop_macbook_pro_14_inch_m2_pro","brand_apple","HAS_V_BRAND"
"laptop_macbook_pro_13_inch_m1","brand_apple","HAS_V_BRAND"
"laptop_zenbook_pro_16x_oled","brand_asus","HAS_V_BRAND"
"laptop_zenbook_14_oled","brand_asus","HAS_V_BRAND"
"laptop_zenbook_flip_13_ux363","brand_asus","HAS_V_BRAND"
"laptop_zenbook_13_ux325","brand_asus","HAS_V_BRAND"
"laptop_zenbook_pro_15_oled","brand_asus","HAS_V_BRAND"
"laptop_msi_ge76_raider","brand_msi","HAS_V_BRAND"
"laptop_msi_gs66_stealth","brand_msi","HAS_V_BRAND"
"laptop_msi_katana_gf66","brand_msi","HAS_V_BRAND"
"laptop_msi_creator_z16p","brand_msi","HAS_V_BRAND"
"laptop_msi_prestige_14_evo","brand_msi","HAS_V_BRAND"
"laptop_razer_blade_15_advanced","brand_razer","HAS_V_BRAND"
"laptop_razer_blade_17","brand_razer","HAS_V_BRAND"
"laptop_razer_blade_14","brand_razer","HAS_V_BRAND"
"laptop_razer_blade_stealth_13","brand_razer","HAS_V_BRAND"
"laptop_razer_book_13","brand_razer","HAS_V_BRAND"
"laptop_acer_aspire_5_a515","brand_acer","HAS_V_BRAND"
"laptop_acer_swift_3_sf314","brand_acer","HAS_V_BRAND"
"laptop_acer_predator_helios_300","brand_acer","HAS_V_BRAND"
"laptop_acer_nitro_5_an515","brand_acer","HAS_V_BRAND"
"laptop_acer_conceptd_7","brand_acer","HAS_V_BRAND"
"laptop_ideapad_gaming_3","brand_lenovo","HAS_V_BRAND"
"laptop_legion_5_pro","brand_lenovo","HAS_V_BRAND"
"laptop_ideapad_slim_7","brand_lenovo","HAS_V_BRAND"
"laptop_yoga_9i_2_in_1","brand_lenovo","HAS_V_BRAND"
"laptop_thinkbook_14s_yoga","brand_lenovo","HAS_V_BRAND"
"laptop_inspiron_15_3000","brand_dell","HAS_V_BRAND"
"laptop_inspiron_14_5000_2_in_1","brand_dell","HAS_V_BRAND"
"laptop_alienware_m15_r7","brand_dell","HAS_V_BRAND"
"laptop_latitude_9430_2_in_1","brand_dell","HAS_V_BRAND"
"laptop_vostro_15_3000","brand_dell","HAS_V_BRAND"
"laptop_pavilion_gaming_15","brand_hp","HAS_V_BRAND"
"laptop_omen_16","brand_hp","HAS_V_BRAND"
"laptop_envy_x360_15","brand_hp","HAS_V_BRAND"
"laptop_probook_450_g9","brand_hp","HAS_V_BRAND"
"laptop_spectre_x360_14","brand_hp","HAS_V_BRAND"
"laptop_vivobook_pro_16x_oled","brand_asus","HAS_V_BRAND"
"laptop_rog_strix_g15","brand_asus","HAS_V_BRAND"
"laptop_tuf_gaming_f15","brand_asus","HAS_V_BRAND"
"laptop_expertbook_b9","brand_asus","HAS_V_BRAND"
"laptop_chromebook_flip_c436","brand_asus","HAS_V_BRAND"
"laptop_acer_aspire_3_a315","brand_acer","HAS_V_BRAND"
"laptop_hp_15_dy2000","brand_hp","HAS_V_BRAND"
"laptop_lenovo_ideapad_3_15","brand_lenovo","HAS_V_BRAND"
"laptop_dell_inspiron_15_3501","brand_dell","HAS_V_BRAND"
"laptop_asus_vivobook_15_x515","brand_asus","HAS_V_BRAND"
"laptop_acer_swift_x_sfx14","brand_acer","HAS_V_BRAND"
"laptop_hp_envy_15","brand_hp","HAS_V_BRAND"
"laptop_lenovo_legion_slim_7","brand_lenovo","HAS_V_BRAND"
